client_id,district_id,sex,age,age_category,no. of inhabitants,ratio of urban inhabitants,average salary,crime_increase,unemployment_increase,crime_avg,unemployment_avg
1073,34,m,75,>65,125236,87.70,9675,-1.06,1.25,41.97,7.05
1074,34,f,71,>65,125236,87.70,9675,-1.06,1.25,41.97,7.05
1075,65,f,65,25-50,114200,43.70,8403,4.91,-0.02,21.34,5.73
1076,53,f,20,18-25,107911,50.90,8240,0.49,1.03,17.39,3.04
1077,46,m,79,>65,112709,73.50,8369,-2.09,0.52,24.27,2.05
1078,24,f,21,18-25,122603,80.00,8991,0.61,0.62,42.70,1.70
1079,3,m,38,25-40,75232,41.70,8980,-0.15,0.26,37.46,2.08
1080,54,f,49,40-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
1081,71,m,29,25-40,161227,69.70,8678,-2.39,-0.36,29.69,5.75
1082,9,m,32,25-40,81344,55.30,8899,-6.15,0.58,33.65,3.68
1083,48,m,62,25-50,78955,59.00,9060,0.79,0.66,21.35,2.11
1084,48,f,55,25-50,78955,59.00,9060,0.79,0.66,21.35,2.11
1085,60,f,67,>65,110643,51.90,8441,3.37,1.03,18.67,3.97
1086,74,m,26,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
1087,74,f,21,18-25,323870,100.00,10673,-1.34,0.69,57.32,5.10
1088,47,f,30,25-40,162580,72.80,9538,-4.11,0.30,35.33,1.66
1089,1,m,60,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1090,35,f,60,25-50,88768,80.50,8867,2.66,0.19,39.45,1.11
1091,59,f,59,25-50,108871,62.10,8444,-2.66,0.23,22.50,3.36
1092,41,f,37,25-40,118650,85.60,9832,-8.21,1.16,50.21,3.90
1093,62,f,23,18-25,145688,40.70,8544,1.28,0.57,19.30,1.58
1094,30,f,39,25-40,94812,81.80,9650,-1.91,0.29,30.53,3.52
1095,30,m,45,40-50,94812,81.80,9650,-1.91,0.29,30.53,3.52
1096,1,f,73,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1097,1,m,69,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1098,60,f,51,25-50,110643,51.90,8441,3.37,1.03,18.67,3.97
1099,65,f,20,18-25,114200,43.70,8403,4.91,-0.02,21.34,5.73
1100,59,m,48,40-50,108871,62.10,8444,-2.66,0.23,22.50,3.36
1101,74,m,53,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
1102,72,m,64,25-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
1103,1,m,48,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1104,1,f,44,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1105,56,m,57,25-50,124605,46.00,8772,2.44,0.29,24.12,4.84
1106,56,f,59,25-50,124605,46.00,8772,2.44,0.29,24.12,4.84
1107,60,m,38,25-40,110643,51.90,8441,3.37,1.03,18.67,3.97
1108,62,f,44,40-50,145688,40.70,8544,1.28,0.57,19.30,1.58
1109,58,f,68,>65,109164,63.60,8757,2.37,0.57,21.45,3.67
1110,10,f,71,>65,92084,46.70,10124,5.49,-0.02,44.12,0.55
1111,61,m,20,18-25,117897,53.80,8814,-0.45,0.98,17.69,5.25
1112,13,f,69,>65,53921,41.30,8598,5.16,0.49,32.20,3.01
1113,11,m,23,18-25,75637,36.50,9622,0.71,0.14,46.30,0.52
1114,59,m,19,18-25,108871,62.10,8444,-2.66,0.23,22.50,3.36
1115,36,f,79,>65,159617,85.20,9198,2.11,0.95,37.36,3.81
1116,69,f,26,25-40,42821,48.40,8173,0.00,0.00,31.71,7.01
1117,20,f,23,18-25,70646,58.40,8547,-0.30,0.99,21.98,3.15
1118,20,m,30,25-40,70646,58.40,8547,-0.30,0.99,21.98,3.15
1119,54,f,19,18-25,387570,100.00,9897,-0.06,0.36,48.27,1.78
1120,41,f,26,25-40,118650,85.60,9832,-8.21,1.16,50.21,3.90
1121,59,m,60,25-50,108871,62.10,8444,-2.66,0.23,22.50,3.36
1122,20,m,78,>65,70646,58.40,8547,-0.30,0.99,21.98,3.15
1123,20,f,77,>65,70646,58.40,8547,-0.30,0.99,21.98,3.15
1124,21,m,71,>65,103347,67.00,9104,0.53,0.56,22.51,1.79
1125,9,f,65,25-50,81344,55.30,8899,-6.15,0.58,33.65,3.68
1126,9,m,64,25-50,81344,55.30,8899,-6.15,0.58,33.65,3.68
1127,23,m,25,18-25,87419,85.50,8624,3.65,0.87,34.76,2.23
1128,7,m,69,>65,94725,63.40,9920,5.88,0.61,48.22,2.56
1129,43,m,68,>65,161854,76.30,9425,-1.20,0.78,24.64,2.11
1130,70,f,59,25-50,285387,89.90,10177,0.81,1.12,35.02,7.19
1131,55,f,52,25-50,157042,33.90,8743,1.50,0.55,24.05,2.16
1132,55,m,51,25-50,157042,33.90,8743,1.50,0.55,24.05,2.16
1133,37,f,41,40-50,114006,62.30,9065,0.17,0.93,36.46,4.92
1134,37,m,40,25-40,114006,62.30,9065,0.17,0.93,36.46,4.92
1135,8,m,47,40-50,112065,69.40,11277,-1.71,0.19,45.36,1.34
1136,9,f,23,18-25,81344,55.30,8899,-6.15,0.58,33.65,3.68
1137,1,f,22,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
1138,70,f,29,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
1139,70,m,26,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
1140,18,m,53,25-50,70699,65.30,8968,2.40,0.52,25.81,3.09
1141,21,f,58,25-50,103347,67.00,9104,0.53,0.56,22.51,1.79
1142,59,f,53,25-50,108871,62.10,8444,-2.66,0.23,22.50,3.36
1143,59,m,53,25-50,108871,62.10,8444,-2.66,0.23,22.50,3.36
1145,58,f,31,25-40,109164,63.60,8757,2.37,0.57,21.45,3.67
1146,54,m,34,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
1147,3,m,69,>65,75232,41.70,8980,-0.15,0.26,37.46,2.08
1148,41,m,58,25-50,118650,85.60,9832,-8.21,1.16,50.21,3.90
1149,14,f,23,18-25,177686,74.80,10045,-1.74,0.29,36.30,1.56
1150,74,f,54,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
1151,59,m,26,25-40,108871,62.10,8444,-2.66,0.23,22.50,3.36
1152,74,m,18,18-25,323870,100.00,10673,-1.34,0.69,57.32,5.10
1153,70,f,19,18-25,285387,89.90,10177,0.81,1.12,35.02,7.19
1154,72,m,75,>65,226122,62.60,8994,-2.05,0.99,41.75,4.29
1155,72,f,77,>65,226122,62.60,8994,-2.05,0.99,41.75,4.29
1156,1,f,66,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1157,4,f,41,40-50,149893,67.40,9753,4.32,0.41,37.15,4.84
1158,1,f,45,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1159,64,m,55,25-50,197099,74.70,9624,-1.11,0.71,22.19,1.96
1160,64,f,61,25-50,197099,74.70,9624,-1.11,0.71,22.19,1.96
1161,7,m,26,25-40,94725,63.40,9920,5.88,0.61,48.22,2.56
1162,26,f,24,18-25,170449,100.00,10787,1.29,0.45,36.09,2.87
1163,20,m,35,25-40,70646,58.40,8547,-0.30,0.99,21.98,3.15
1164,15,f,40,25-40,58796,51.90,9045,0.58,0.47,31.67,3.37
1165,15,f,57,25-50,58796,51.90,9045,0.58,0.47,31.67,3.37
1166,74,m,40,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
1167,74,f,45,40-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
1168,19,m,21,18-25,51428,52.70,8402,1.94,0.85,20.40,3.55
1169,18,f,58,25-50,70699,65.30,8968,2.40,0.52,25.81,3.09
1170,12,m,22,18-25,107870,58.00,8754,0.59,0.48,35.56,4.07
1171,46,f,25,18-25,112709,73.50,8369,-2.09,0.52,24.27,2.05
1172,54,f,76,>65,387570,100.00,9897,-0.06,0.36,48.27,1.78
1173,54,m,77,>65,387570,100.00,9897,-0.06,0.36,48.27,1.78
1174,29,f,29,25-40,45714,55.60,8843,1.53,0.78,18.66,3.21
1175,1,m,74,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1176,1,f,81,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1177,77,f,60,25-50,148545,53.50,8909,0.88,1.55,23.73,4.79
1178,1,f,28,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1179,1,f,69,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1180,21,m,55,25-50,103347,67.00,9104,0.53,0.56,22.51,1.79
1181,1,m,60,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1182,66,f,53,25-50,125832,48.30,8512,-1.14,0.61,17.28,3.81
1183,54,m,57,25-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
1186,2,f,52,25-50,88884,46.70,8507,5.79,0.18,27.19,1.76
1187,32,f,38,25-40,105058,81.00,9272,1.57,0.42,42.10,3.01
1188,32,m,31,25-40,105058,81.00,9272,1.57,0.42,42.10,3.01
1189,74,f,67,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
1190,15,f,23,18-25,58796,51.90,9045,0.58,0.47,31.67,3.37
1191,15,m,22,18-25,58796,51.90,9045,0.58,0.47,31.67,3.37
1192,10,f,75,>65,92084,46.70,10124,5.49,-0.02,44.12,0.55
1193,19,m,73,>65,51428,52.70,8402,1.94,0.85,20.40,3.55
1194,17,f,60,25-50,74062,61.40,8114,2.40,0.24,14.74,2.50
1195,39,f,60,25-50,119895,89.90,10446,-1.70,2.06,40.41,8.37
1196,22,m,56,25-50,58400,52.40,8620,0.48,0.15,18.89,1.18
1197,6,f,33,25-40,77963,51.50,8546,6.16,1.07,36.94,3.48
1198,72,f,24,18-25,226122,62.60,8994,-2.05,0.99,41.75,4.29
1199,64,f,23,18-25,197099,74.70,9624,-1.11,0.71,22.19,1.96
1200,47,f,68,>65,162580,72.80,9538,-4.11,0.30,35.33,1.66
1201,54,m,54,25-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
1202,47,f,19,18-25,162580,72.80,9538,-4.11,0.30,35.33,1.66
1204,77,f,25,18-25,148545,53.50,8909,0.88,1.55,23.73,4.79
1206,50,m,42,40-50,102609,52.00,8187,0.11,0.62,20.74,5.14
1207,28,f,60,25-50,72541,36.90,8594,-0.76,0.39,21.40,1.81
1208,70,f,24,18-25,285387,89.90,10177,0.81,1.12,35.02,7.19
1209,36,f,42,40-50,159617,85.20,9198,2.11,0.95,37.36,3.81
1210,6,m,38,25-40,77963,51.50,8546,6.16,1.07,36.94,3.48
1211,1,m,21,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
1212,13,f,72,>65,53921,41.30,8598,5.16,0.49,32.20,3.01
1213,1,m,33,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1214,61,m,59,25-50,117897,53.80,8814,-0.45,0.98,17.69,5.25
1215,45,m,55,25-50,77917,53.50,8390,0.54,0.61,26.96,2.58
1216,65,f,54,25-50,114200,43.70,8403,4.91,-0.02,21.34,5.73
1217,59,m,62,25-50,108871,62.10,8444,-2.66,0.23,22.50,3.36
1218,74,m,19,18-25,323870,100.00,10673,-1.34,0.69,57.32,5.10
1219,1,m,55,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1220,40,f,46,40-50,128118,85.30,9317,-0.60,0.58,53.94,6.78
1221,14,f,26,25-40,177686,74.80,10045,-1.74,0.29,36.30,1.56
1222,7,f,60,25-50,94725,63.40,9920,5.88,0.61,48.22,2.56
1223,14,f,44,40-50,177686,74.80,10045,-1.74,0.29,36.30,1.56
1224,56,m,61,25-50,124605,46.00,8772,2.44,0.29,24.12,4.84
1225,42,m,53,25-50,95907,59.10,8388,0.10,0.53,17.34,2.67
1226,33,f,48,40-50,133777,84.70,8705,1.56,1.86,35.54,6.68
1227,33,m,44,40-50,133777,84.70,8705,1.56,1.86,35.54,6.68
1228,21,f,50,40-50,103347,67.00,9104,0.53,0.56,22.51,1.79
1229,19,m,28,25-40,51428,52.70,8402,1.94,0.85,20.40,3.55
1231,20,f,34,25-40,70646,58.40,8547,-0.30,0.99,21.98,3.15
1232,20,m,40,25-40,70646,58.40,8547,-0.30,0.99,21.98,3.15
1233,68,m,57,25-50,228848,57.20,9893,1.15,0.63,25.15,4.40
1234,23,m,24,18-25,87419,85.50,8624,3.65,0.87,34.76,2.23
1235,23,f,20,18-25,87419,85.50,8624,3.65,0.87,34.76,2.23
1236,26,f,32,25-40,170449,100.00,10787,1.29,0.45,36.09,2.87
1237,57,m,76,>65,161954,48.00,8720,-0.48,0.77,22.78,4.12
1238,74,m,64,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
1239,11,f,23,18-25,75637,36.50,9622,0.71,0.14,46.30,0.52
1240,32,f,23,18-25,105058,81.00,9272,1.57,0.42,42.10,3.01
1241,73,f,57,25-50,182027,56.40,8746,0.43,0.41,24.14,3.54
1242,73,f,55,25-50,182027,56.40,8746,0.43,0.41,24.14,3.54
1243,11,f,25,18-25,75637,36.50,9622,0.71,0.14,46.30,0.52
1244,1,m,35,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1245,64,m,20,18-25,197099,74.70,9624,-1.11,0.71,22.19,1.96
1246,70,m,37,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
1247,70,f,30,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
1248,19,m,28,25-40,51428,52.70,8402,1.94,0.85,20.40,3.55
1250,43,f,47,40-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
1251,1,m,40,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1252,1,f,46,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1253,14,f,32,25-40,177686,74.80,10045,-1.74,0.29,36.30,1.56
1254,3,f,60,25-50,75232,41.70,8980,-0.15,0.26,37.46,2.08
1255,1,f,33,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1256,46,f,44,40-50,112709,73.50,8369,-2.09,0.52,24.27,2.05
1257,35,f,71,>65,88768,80.50,8867,2.66,0.19,39.45,1.11
1258,35,m,75,>65,88768,80.50,8867,2.66,0.19,39.45,1.11
1259,18,m,33,25-40,70699,65.30,8968,2.40,0.52,25.81,3.09
1260,57,f,54,25-50,161954,48.00,8720,-0.48,0.77,22.78,4.12
1261,57,m,48,40-50,161954,48.00,8720,-0.48,0.77,22.78,4.12
1262,35,m,47,40-50,88768,80.50,8867,2.66,0.19,39.45,1.11
1263,35,f,40,25-40,88768,80.50,8867,2.66,0.19,39.45,1.11
1264,61,f,23,18-25,117897,53.80,8814,-0.45,0.98,17.69,5.25
1265,57,f,41,40-50,161954,48.00,8720,-0.48,0.77,22.78,4.12
1266,71,f,47,40-50,161227,69.70,8678,-2.39,-0.36,29.69,5.75
1267,29,f,45,40-50,45714,55.60,8843,1.53,0.78,18.66,3.21
1268,29,m,50,40-50,45714,55.60,8843,1.53,0.78,18.66,3.21
1269,1,f,51,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1270,13,m,69,>65,53921,41.30,8598,5.16,0.49,32.20,3.01
1271,47,m,64,25-50,162580,72.80,9538,-4.11,0.30,35.33,1.66
1272,8,m,55,25-50,112065,69.40,11277,-1.71,0.19,45.36,1.34
1273,6,m,21,18-25,77963,51.50,8546,6.16,1.07,36.94,3.48
1274,44,m,23,18-25,105606,53.00,8254,1.51,0.97,21.26,3.27
1275,1,f,48,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1276,68,f,57,25-50,228848,57.20,9893,1.15,0.63,25.15,4.40
1277,70,m,68,>65,285387,89.90,10177,0.81,1.12,35.02,7.19
1278,72,m,21,18-25,226122,62.60,8994,-2.05,0.99,41.75,4.29
1279,16,m,43,40-50,93931,56.90,8427,0.42,0.42,20.16,1.33
1280,34,m,47,40-50,125236,87.70,9675,-1.06,1.25,41.97,7.05
1281,34,f,50,40-50,125236,87.70,9675,-1.06,1.25,41.97,7.05
1282,52,m,63,25-50,139012,61.90,8363,1.69,0.97,19.29,3.00
1283,66,f,60,25-50,125832,48.30,8512,-1.14,0.61,17.28,3.81
1284,66,m,56,25-50,125832,48.30,8512,-1.14,0.61,17.28,3.81
1285,62,m,60,25-50,145688,40.70,8544,1.28,0.57,19.30,1.58
1286,52,f,49,40-50,139012,61.90,8363,1.69,0.97,19.29,3.00
1287,65,f,55,25-50,114200,43.70,8403,4.91,-0.02,21.34,5.73
1288,73,m,27,25-40,182027,56.40,8746,0.43,0.41,24.14,3.54
1289,59,m,53,25-50,108871,62.10,8444,-2.66,0.23,22.50,3.36
1290,35,m,23,18-25,88768,80.50,8867,2.66,0.19,39.45,1.11
1291,1,f,35,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1292,14,m,22,18-25,177686,74.80,10045,-1.74,0.29,36.30,1.56
1293,1,m,72,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1294,1,f,69,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1295,74,f,55,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
1296,55,f,40,25-40,157042,33.90,8743,1.50,0.55,24.05,2.16
1297,64,f,81,>65,197099,74.70,9624,-1.11,0.71,22.19,1.96
1298,64,m,78,>65,197099,74.70,9624,-1.11,0.71,22.19,1.96
1299,2,f,79,>65,88884,46.70,8507,5.79,0.18,27.19,1.76
1300,45,m,20,18-25,77917,53.50,8390,0.54,0.61,26.96,2.58
1303,42,f,59,25-50,95907,59.10,8388,0.10,0.53,17.34,2.67
1304,37,m,63,25-50,114006,62.30,9065,0.17,0.93,36.46,4.92
1305,55,f,54,25-50,157042,33.90,8743,1.50,0.55,24.05,2.16
1306,32,f,77,>65,105058,81.00,9272,1.57,0.42,42.10,3.01
1307,74,m,46,40-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
1308,69,m,45,40-50,42821,48.40,8173,0.00,0.00,31.71,7.01
1309,1,m,24,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
1310,41,f,22,18-25,118650,85.60,9832,-8.21,1.16,50.21,3.90
1311,54,f,43,40-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
1312,35,f,64,25-50,88768,80.50,8867,2.66,0.19,39.45,1.11
1313,54,m,29,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
1314,54,f,24,18-25,387570,100.00,9897,-0.06,0.36,48.27,1.78
1315,34,m,76,>65,125236,87.70,9675,-1.06,1.25,41.97,7.05
1316,67,f,53,25-50,106054,63.10,8110,-1.56,0.78,29.81,6.16
1317,67,m,54,25-50,106054,63.10,8110,-1.56,0.78,29.81,6.16
1318,47,m,68,>65,162580,72.80,9538,-4.11,0.30,35.33,1.66
1321,35,f,22,18-25,88768,80.50,8867,2.66,0.19,39.45,1.11
1322,4,f,54,25-50,149893,67.40,9753,4.32,0.41,37.15,4.84
1323,70,m,55,25-50,285387,89.90,10177,0.81,1.12,35.02,7.19
1324,66,f,43,40-50,125832,48.30,8512,-1.14,0.61,17.28,3.81
1325,39,m,54,25-50,119895,89.90,10446,-1.70,2.06,40.41,8.37
1326,55,f,43,40-50,157042,33.90,8743,1.50,0.55,24.05,2.16
1327,20,f,36,25-40,70646,58.40,8547,-0.30,0.99,21.98,3.15
1328,42,f,62,25-50,95907,59.10,8388,0.10,0.53,17.34,2.67
1329,26,m,81,>65,170449,100.00,10787,1.29,0.45,36.09,2.87
1330,66,m,31,25-40,125832,48.30,8512,-1.14,0.61,17.28,3.81
1331,54,m,36,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
1332,5,f,42,40-50,95616,51.40,9307,4.43,0.58,29.58,4.14
1333,48,m,50,40-50,78955,59.00,9060,0.79,0.66,21.35,2.11
1334,8,m,21,18-25,112065,69.40,11277,-1.71,0.19,45.36,1.34
1335,1,f,38,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1336,1,m,37,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1337,56,f,20,18-25,124605,46.00,8772,2.44,0.29,24.12,4.84
1338,56,m,16,-18,124605,46.00,8772,2.44,0.29,24.12,4.84
1339,22,m,40,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
1340,68,f,60,25-50,228848,57.20,9893,1.15,0.63,25.15,4.40
1341,69,f,37,25-40,42821,48.40,8173,0.00,0.00,31.71,7.01
1343,1,f,60,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1344,1,m,64,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1345,32,m,31,25-40,105058,81.00,9272,1.57,0.42,42.10,3.01
1346,13,m,45,40-50,53921,41.30,8598,5.16,0.49,32.20,3.01
1347,13,m,29,25-40,53921,41.30,8598,5.16,0.49,32.20,3.01
1348,13,f,24,18-25,53921,41.30,8598,5.16,0.49,32.20,3.01
1349,26,f,31,25-40,170449,100.00,10787,1.29,0.45,36.09,2.87
1350,1,m,40,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1351,1,f,48,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1352,54,f,28,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
1353,27,m,40,25-40,67298,43.80,8561,1.46,0.64,16.02,0.97
1354,64,m,78,>65,197099,74.70,9624,-1.11,0.71,22.19,1.96
1355,35,f,23,18-25,88768,80.50,8867,2.66,0.19,39.45,1.11
1356,1,m,67,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1359,1,f,48,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1360,1,m,53,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1361,1,f,77,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1362,1,m,70,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1363,6,f,20,18-25,77963,51.50,8546,6.16,1.07,36.94,3.48
1364,1,m,66,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1365,1,f,61,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1366,12,f,19,18-25,107870,58.00,8754,0.59,0.48,35.56,4.07
1367,60,f,34,25-40,110643,51.90,8441,3.37,1.03,18.67,3.97
1368,60,m,42,40-50,110643,51.90,8441,3.37,1.03,18.67,3.97
1369,41,m,21,18-25,118650,85.60,9832,-8.21,1.16,50.21,3.90
1370,34,f,34,25-40,125236,87.70,9675,-1.06,1.25,41.97,7.05
1371,49,f,51,25-50,75685,60.80,8208,6.12,0.37,24.99,2.07
1372,28,f,23,18-25,72541,36.90,8594,-0.76,0.39,21.40,1.81
1373,74,f,24,18-25,323870,100.00,10673,-1.34,0.69,57.32,5.10
1375,69,m,22,18-25,42821,48.40,8173,0.00,0.00,31.71,7.01
1376,18,m,41,40-50,70699,65.30,8968,2.40,0.52,25.81,3.09
1377,18,f,48,40-50,70699,65.30,8968,2.40,0.52,25.81,3.09
1378,74,f,58,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
1379,74,m,62,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
1380,44,f,46,40-50,105606,53.00,8254,1.51,0.97,21.26,3.27
1382,18,f,20,18-25,70699,65.30,8968,2.40,0.52,25.81,3.09
1383,29,m,17,-18,45714,55.60,8843,1.53,0.78,18.66,3.21
1384,40,f,46,40-50,128118,85.30,9317,-0.60,0.58,53.94,6.78
1385,22,m,46,40-50,58400,52.40,8620,0.48,0.15,18.89,1.18
1386,22,f,43,40-50,58400,52.40,8620,0.48,0.15,18.89,1.18
1387,1,f,22,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
1388,5,f,37,25-40,95616,51.40,9307,4.43,0.58,29.58,4.14
1389,43,f,72,>65,161854,76.30,9425,-1.20,0.78,24.64,2.11
1390,59,f,20,18-25,108871,62.10,8444,-2.66,0.23,22.50,3.36
1391,41,m,34,25-40,118650,85.60,9832,-8.21,1.16,50.21,3.90
1392,50,m,67,>65,102609,52.00,8187,0.11,0.62,20.74,5.14
1393,50,f,65,25-50,102609,52.00,8187,0.11,0.62,20.74,5.14
1394,49,f,57,25-50,75685,60.80,8208,6.12,0.37,24.99,2.07
1395,49,m,58,25-50,75685,60.80,8208,6.12,0.37,24.99,2.07
1396,39,f,53,25-50,119895,89.90,10446,-1.70,2.06,40.41,8.37
1397,66,f,78,>65,125832,48.30,8512,-1.14,0.61,17.28,3.81
1401,35,m,18,18-25,88768,80.50,8867,2.66,0.19,39.45,1.11
1402,44,m,63,25-50,105606,53.00,8254,1.51,0.97,21.26,3.27
1403,44,f,55,25-50,105606,53.00,8254,1.51,0.97,21.26,3.27
1404,11,f,31,25-40,75637,36.50,9622,0.71,0.14,46.30,0.52
1406,29,f,51,25-50,45714,55.60,8843,1.53,0.78,18.66,3.21
1407,29,m,58,25-50,45714,55.60,8843,1.53,0.78,18.66,3.21
1408,49,m,30,25-40,75685,60.80,8208,6.12,0.37,24.99,2.07
1409,25,m,48,40-50,88757,61.70,8554,4.46,0.21,22.76,2.58
1410,18,m,55,25-50,70699,65.30,8968,2.40,0.52,25.81,3.09
1411,18,f,60,25-50,70699,65.30,8968,2.40,0.52,25.81,3.09
1412,6,m,20,18-25,77963,51.50,8546,6.16,1.07,36.94,3.48
1413,11,f,30,25-40,75637,36.50,9622,0.71,0.14,46.30,0.52
1414,70,f,25,18-25,285387,89.90,10177,0.81,1.12,35.02,7.19
1416,19,m,72,>65,51428,52.70,8402,1.94,0.85,20.40,3.55
1417,27,f,33,25-40,67298,43.80,8561,1.46,0.64,16.02,0.97
1418,41,f,25,18-25,118650,85.60,9832,-8.21,1.16,50.21,3.90
1419,74,f,81,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
1420,74,m,83,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
1421,20,f,43,40-50,70646,58.40,8547,-0.30,0.99,21.98,3.15
1422,69,f,23,18-25,42821,48.40,8173,0.00,0.00,31.71,7.01
1423,69,m,17,-18,42821,48.40,8173,0.00,0.00,31.71,7.01
1424,8,m,47,40-50,112065,69.40,11277,-1.71,0.19,45.36,1.34
1425,12,m,31,25-40,107870,58.00,8754,0.59,0.48,35.56,4.07
1426,12,f,35,25-40,107870,58.00,8754,0.59,0.48,35.56,4.07
1427,14,f,34,25-40,177686,74.80,10045,-1.74,0.29,36.30,1.56
1428,12,m,79,>65,107870,58.00,8754,0.59,0.48,35.56,4.07
1429,12,f,72,>65,107870,58.00,8754,0.59,0.48,35.56,4.07
1430,64,f,17,-18,197099,74.70,9624,-1.11,0.71,22.19,1.96
1431,55,f,69,>65,157042,33.90,8743,1.50,0.55,24.05,2.16
1432,16,f,38,25-40,93931,56.90,8427,0.42,0.42,20.16,1.33
1433,72,f,40,25-40,226122,62.60,8994,-2.05,0.99,41.75,4.29
1434,72,m,32,25-40,226122,62.60,8994,-2.05,0.99,41.75,4.29
1435,52,m,46,40-50,139012,61.90,8363,1.69,0.97,19.29,3.00
1438,29,f,36,25-40,45714,55.60,8843,1.53,0.78,18.66,3.21
1439,29,m,25,18-25,45714,55.60,8843,1.53,0.78,18.66,3.21
1440,1,m,21,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
1441,42,f,68,>65,95907,59.10,8388,0.10,0.53,17.34,2.67
1442,42,m,66,>65,95907,59.10,8388,0.10,0.53,17.34,2.67
1443,29,m,64,25-50,45714,55.60,8843,1.53,0.78,18.66,3.21
1444,29,f,57,25-50,45714,55.60,8843,1.53,0.78,18.66,3.21
1445,68,m,58,25-50,228848,57.20,9893,1.15,0.63,25.15,4.40
1446,70,m,45,40-50,285387,89.90,10177,0.81,1.12,35.02,7.19
1447,70,f,47,40-50,285387,89.90,10177,0.81,1.12,35.02,7.19
1448,50,f,42,40-50,102609,52.00,8187,0.11,0.62,20.74,5.14
1449,41,m,50,40-50,118650,85.60,9832,-8.21,1.16,50.21,3.90
