disp_id,client_id,account_id,type,district_id,sex,age,age_category,no. of inhabitants,ratio of urban inhabitants,average salary,crime_increase,unemployment_increase,crime_avg,unemployment_avg
779,779,649,OWNER,69,f,55,25-50,42821,48.40,8173,0.00,0.00,31.71,7.01
780,780,650,OWNER,3,m,75,>65,75232,41.70,8980,-0.15,0.26,37.46,2.08
781,781,651,OWNER,72,m,54,25-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
782,782,652,OWNER,5,f,36,25-40,95616,51.40,9307,4.43,0.58,29.58,4.14
783,783,653,OWNER,27,f,28,25-40,67298,43.80,8561,1.46,0.64,16.02,0.97
784,784,653,DISPONENT,27,m,35,25-40,67298,43.80,8561,1.46,0.64,16.02,0.97
785,785,654,OWNER,63,m,65,25-50,86513,50.50,8288,-1.18,0.73,17.47,4.15
786,786,655,OWNER,53,m,21,18-25,107911,50.90,8240,0.49,1.03,17.39,3.04
787,787,656,OWNER,3,m,52,25-50,75232,41.70,8980,-0.15,0.26,37.46,2.08
788,788,657,OWNER,47,m,25,18-25,162580,72.80,9538,-4.11,0.30,35.33,1.66
789,789,658,OWNER,4,m,68,>65,149893,67.40,9753,4.32,0.41,37.15,4.84
790,790,659,OWNER,63,f,32,25-40,86513,50.50,8288,-1.18,0.73,17.47,4.15
791,791,660,OWNER,68,f,49,40-50,228848,57.20,9893,1.15,0.63,25.15,4.40
793,793,662,OWNER,21,m,21,18-25,103347,67.00,9104,0.53,0.56,22.51,1.79
794,794,662,DISPONENT,21,f,20,18-25,103347,67.00,9104,0.53,0.56,22.51,1.79
796,796,664,OWNER,1,m,80,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
797,797,665,OWNER,8,m,51,25-50,112065,69.40,11277,-1.71,0.19,45.36,1.34
798,798,666,OWNER,27,f,59,25-50,67298,43.80,8561,1.46,0.64,16.02,0.97
799,799,666,DISPONENT,27,m,63,25-50,67298,43.80,8561,1.46,0.64,16.02,0.97
803,803,669,OWNER,35,m,48,40-50,88768,80.50,8867,2.66,0.19,39.45,1.11
804,804,669,DISPONENT,35,f,43,40-50,88768,80.50,8867,2.66,0.19,39.45,1.11
806,806,671,OWNER,60,m,19,18-25,110643,51.90,8441,3.37,1.03,18.67,3.97
807,807,672,OWNER,53,f,30,25-40,107911,50.90,8240,0.49,1.03,17.39,3.04
808,808,673,OWNER,31,m,36,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
809,809,674,OWNER,49,m,80,>65,75685,60.80,8208,6.12,0.37,24.99,2.07
810,810,675,OWNER,58,f,54,25-50,109164,63.60,8757,2.37,0.57,21.45,3.67
811,811,675,DISPONENT,58,m,59,25-50,109164,63.60,8757,2.37,0.57,21.45,3.67
812,812,676,OWNER,39,m,59,25-50,119895,89.90,10446,-1.70,2.06,40.41,8.37
813,813,677,OWNER,70,m,35,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
814,814,678,OWNER,19,m,40,25-40,51428,52.70,8402,1.94,0.85,20.40,3.55
815,815,679,OWNER,22,f,35,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
816,816,680,OWNER,17,f,41,40-50,74062,61.40,8114,2.40,0.24,14.74,2.50
818,818,682,OWNER,54,m,33,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
819,819,683,OWNER,74,m,41,40-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
820,820,683,DISPONENT,74,f,39,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
821,821,684,OWNER,49,m,51,25-50,75685,60.80,8208,6.12,0.37,24.99,2.07
822,822,685,OWNER,37,f,40,25-40,114006,62.30,9065,0.17,0.93,36.46,4.92
823,823,686,OWNER,41,m,43,40-50,118650,85.60,9832,-8.21,1.16,50.21,3.90
824,824,687,OWNER,27,m,47,40-50,67298,43.80,8561,1.46,0.64,16.02,0.97
825,825,688,OWNER,74,m,22,18-25,323870,100.00,10673,-1.34,0.69,57.32,5.10
826,826,689,OWNER,1,m,21,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
827,827,690,OWNER,10,f,34,25-40,92084,46.70,10124,5.49,-0.02,44.12,0.55
828,828,690,DISPONENT,10,m,41,40-50,92084,46.70,10124,5.49,-0.02,44.12,0.55
829,829,691,OWNER,24,m,42,40-50,122603,80.00,8991,0.61,0.62,42.70,1.70
830,830,692,OWNER,69,m,51,25-50,42821,48.40,8173,0.00,0.00,31.71,7.01
831,831,693,OWNER,2,m,51,25-50,88884,46.70,8507,5.79,0.18,27.19,1.76
832,832,694,OWNER,67,f,76,>65,106054,63.10,8110,-1.56,0.78,29.81,6.16
833,833,695,OWNER,5,m,39,25-40,95616,51.40,9307,4.43,0.58,29.58,4.14
834,834,696,OWNER,54,m,77,>65,387570,100.00,9897,-0.06,0.36,48.27,1.78
835,835,697,OWNER,28,f,56,25-50,72541,36.90,8594,-0.76,0.39,21.40,1.81
836,836,697,DISPONENT,28,m,51,25-50,72541,36.90,8594,-0.76,0.39,21.40,1.81
837,837,698,OWNER,71,m,25,18-25,161227,69.70,8678,-2.39,-0.36,29.69,5.75
838,838,698,DISPONENT,71,f,31,25-40,161227,69.70,8678,-2.39,-0.36,29.69,5.75
839,839,699,OWNER,47,f,44,40-50,162580,72.80,9538,-4.11,0.30,35.33,1.66
840,840,700,OWNER,20,m,62,25-50,70646,58.40,8547,-0.30,0.99,21.98,3.15
841,841,701,OWNER,69,m,18,18-25,42821,48.40,8173,0.00,0.00,31.71,7.01
842,842,702,OWNER,12,f,66,>65,107870,58.00,8754,0.59,0.48,35.56,4.07
843,843,703,OWNER,54,f,42,40-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
844,844,704,OWNER,22,m,54,25-50,58400,52.40,8620,0.48,0.15,18.89,1.18
845,845,704,DISPONENT,22,f,46,40-50,58400,52.40,8620,0.48,0.15,18.89,1.18
846,846,705,OWNER,35,m,50,40-50,88768,80.50,8867,2.66,0.19,39.45,1.11
847,847,706,OWNER,49,m,20,18-25,75685,60.80,8208,6.12,0.37,24.99,2.07
849,849,708,OWNER,26,f,60,25-50,170449,100.00,10787,1.29,0.45,36.09,2.87
850,850,709,OWNER,19,m,30,25-40,51428,52.70,8402,1.94,0.85,20.40,3.55
851,851,710,OWNER,25,m,80,>65,88757,61.70,8554,4.46,0.21,22.76,2.58
852,852,710,DISPONENT,25,f,83,>65,88757,61.70,8554,4.46,0.21,22.76,2.58
853,853,711,OWNER,70,m,50,40-50,285387,89.90,10177,0.81,1.12,35.02,7.19
854,854,712,OWNER,72,f,58,25-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
855,855,713,OWNER,58,m,69,>65,109164,63.60,8757,2.37,0.57,21.45,3.67
856,856,714,OWNER,23,m,80,>65,87419,85.50,8624,3.65,0.87,34.76,2.23
857,857,715,OWNER,32,m,51,25-50,105058,81.00,9272,1.57,0.42,42.10,3.01
858,858,716,OWNER,47,f,40,25-40,162580,72.80,9538,-4.11,0.30,35.33,1.66
859,859,717,OWNER,1,f,31,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
860,860,717,DISPONENT,1,m,32,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
861,861,718,OWNER,1,f,43,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
862,862,719,OWNER,30,m,47,40-50,94812,81.80,9650,-1.91,0.29,30.53,3.52
863,863,720,OWNER,54,f,31,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
864,864,721,OWNER,11,m,46,40-50,75637,36.50,9622,0.71,0.14,46.30,0.52
865,865,721,DISPONENT,11,f,53,25-50,75637,36.50,9622,0.71,0.14,46.30,0.52
866,866,722,OWNER,38,f,24,18-25,85852,59.80,8965,1.97,1.15,31.89,7.66
870,870,725,OWNER,70,m,42,40-50,285387,89.90,10177,0.81,1.12,35.02,7.19
871,871,726,OWNER,76,m,25,18-25,127369,51.20,8369,-7.29,1.15,25.69,5.30
872,872,727,OWNER,35,m,36,25-40,88768,80.50,8867,2.66,0.19,39.45,1.11
873,873,728,OWNER,60,m,55,25-50,110643,51.90,8441,3.37,1.03,18.67,3.97
874,874,729,OWNER,14,f,47,40-50,177686,74.80,10045,-1.74,0.29,36.30,1.56
875,875,729,DISPONENT,14,m,43,40-50,177686,74.80,10045,-1.74,0.29,36.30,1.56
876,876,730,OWNER,1,m,39,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
877,877,731,OWNER,5,f,72,>65,95616,51.40,9307,4.43,0.58,29.58,4.14
878,878,731,DISPONENT,5,m,79,>65,95616,51.40,9307,4.43,0.58,29.58,4.14
879,879,732,OWNER,38,f,56,25-50,85852,59.80,8965,1.97,1.15,31.89,7.66
880,880,733,OWNER,49,m,39,25-40,75685,60.80,8208,6.12,0.37,24.99,2.07
881,881,734,OWNER,5,f,24,18-25,95616,51.40,9307,4.43,0.58,29.58,4.14
882,882,735,OWNER,70,f,66,>65,285387,89.90,10177,0.81,1.12,35.02,7.19
883,883,736,OWNER,75,f,79,>65,138032,64.60,8819,3.20,0.28,31.04,5.52
884,884,736,DISPONENT,75,m,81,>65,138032,64.60,8819,3.20,0.28,31.04,5.52
885,885,737,OWNER,34,m,76,>65,125236,87.70,9675,-1.06,1.25,41.97,7.05
886,886,738,OWNER,34,m,51,25-50,125236,87.70,9675,-1.06,1.25,41.97,7.05
887,887,739,OWNER,66,f,26,25-40,125832,48.30,8512,-1.14,0.61,17.28,3.81
888,888,740,OWNER,28,m,26,25-40,72541,36.90,8594,-0.76,0.39,21.40,1.81
889,889,741,OWNER,54,f,18,18-25,387570,100.00,9897,-0.06,0.36,48.27,1.78
890,890,742,OWNER,77,m,80,>65,148545,53.50,8909,0.88,1.55,23.73,4.79
891,891,743,OWNER,33,m,68,>65,133777,84.70,8705,1.56,1.86,35.54,6.68
892,892,744,OWNER,42,f,77,>65,95907,59.10,8388,0.10,0.53,17.34,2.67
893,893,745,OWNER,43,f,64,25-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
894,894,746,OWNER,75,m,65,25-50,138032,64.60,8819,3.20,0.28,31.04,5.52
895,895,747,OWNER,39,m,29,25-40,119895,89.90,10446,-1.70,2.06,40.41,8.37
896,896,748,OWNER,36,f,26,25-40,159617,85.20,9198,2.11,0.95,37.36,3.81
897,897,748,DISPONENT,36,m,18,18-25,159617,85.20,9198,2.11,0.95,37.36,3.81
898,898,749,OWNER,38,f,56,25-50,85852,59.80,8965,1.97,1.15,31.89,7.66
899,899,749,DISPONENT,38,m,55,25-50,85852,59.80,8965,1.97,1.15,31.89,7.66
900,900,750,OWNER,73,m,22,18-25,182027,56.40,8746,0.43,0.41,24.14,3.54
901,901,751,OWNER,39,m,80,>65,119895,89.90,10446,-1.70,2.06,40.41,8.37
902,902,752,OWNER,23,m,49,40-50,87419,85.50,8624,3.65,0.87,34.76,2.23
903,903,753,OWNER,31,m,65,25-50,51313,59.20,8930,2.42,0.68,27.09,3.86
904,904,754,OWNER,1,m,67,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
905,905,755,OWNER,38,m,59,25-50,85852,59.80,8965,1.97,1.15,31.89,7.66
906,906,756,OWNER,65,m,21,18-25,114200,43.70,8403,4.91,-0.02,21.34,5.73
907,907,757,OWNER,51,m,51,25-50,121947,70.50,8541,2.81,0.46,30.07,2.74
908,908,758,OWNER,51,f,38,25-40,121947,70.50,8541,2.81,0.46,30.07,2.74
909,909,759,OWNER,23,m,24,18-25,87419,85.50,8624,3.65,0.87,34.76,2.23
910,910,760,OWNER,1,m,38,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
911,911,761,OWNER,43,m,60,25-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
912,912,762,OWNER,76,m,79,>65,127369,51.20,8369,-7.29,1.15,25.69,5.30
913,913,763,OWNER,1,m,61,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
914,914,764,OWNER,1,f,78,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
915,915,765,OWNER,12,m,24,18-25,107870,58.00,8754,0.59,0.48,35.56,4.07
916,916,766,OWNER,3,m,41,40-50,75232,41.70,8980,-0.15,0.26,37.46,2.08
917,917,767,OWNER,25,f,26,25-40,88757,61.70,8554,4.46,0.21,22.76,2.58
918,918,768,OWNER,26,m,35,25-40,170449,100.00,10787,1.29,0.45,36.09,2.87
921,921,770,OWNER,7,f,45,40-50,94725,63.40,9920,5.88,0.61,48.22,2.56
922,922,771,OWNER,22,f,27,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
923,923,771,DISPONENT,22,m,21,18-25,58400,52.40,8620,0.48,0.15,18.89,1.18
924,924,772,OWNER,1,m,46,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
925,925,773,OWNER,54,m,40,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
926,926,774,OWNER,1,m,18,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
927,927,775,OWNER,1,m,25,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
928,928,776,OWNER,66,f,48,40-50,125832,48.30,8512,-1.14,0.61,17.28,3.81
929,929,777,OWNER,30,m,64,25-50,94812,81.80,9650,-1.91,0.29,30.53,3.52
930,930,778,OWNER,68,f,40,25-40,228848,57.20,9893,1.15,0.63,25.15,4.40
931,931,779,OWNER,16,m,31,25-40,93931,56.90,8427,0.42,0.42,20.16,1.33
932,932,780,OWNER,3,m,52,25-50,75232,41.70,8980,-0.15,0.26,37.46,2.08
933,933,781,OWNER,33,f,21,18-25,133777,84.70,8705,1.56,1.86,35.54,6.68
934,934,781,DISPONENT,33,m,17,-18,133777,84.70,8705,1.56,1.86,35.54,6.68
935,935,782,OWNER,42,f,53,25-50,95907,59.10,8388,0.10,0.53,17.34,2.67
936,936,782,DISPONENT,42,m,56,25-50,95907,59.10,8388,0.10,0.53,17.34,2.67
937,937,783,OWNER,1,m,68,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
938,938,784,OWNER,59,f,55,25-50,108871,62.10,8444,-2.66,0.23,22.50,3.36
939,939,785,OWNER,21,m,47,40-50,103347,67.00,9104,0.53,0.56,22.51,1.79
940,940,786,OWNER,53,m,39,25-40,107911,50.90,8240,0.49,1.03,17.39,3.04
941,941,787,OWNER,10,m,64,25-50,92084,46.70,10124,5.49,-0.02,44.12,0.55
942,942,788,OWNER,12,f,68,>65,107870,58.00,8754,0.59,0.48,35.56,4.07
943,943,788,DISPONENT,12,m,63,25-50,107870,58.00,8754,0.59,0.48,35.56,4.07
944,944,789,OWNER,39,m,29,25-40,119895,89.90,10446,-1.70,2.06,40.41,8.37
945,945,789,DISPONENT,39,f,22,18-25,119895,89.90,10446,-1.70,2.06,40.41,8.37
946,946,790,OWNER,54,m,48,40-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
948,948,791,OWNER,49,m,75,>65,75685,60.80,8208,6.12,0.37,24.99,2.07
949,949,792,OWNER,3,m,23,18-25,75232,41.70,8980,-0.15,0.26,37.46,2.08
950,950,793,OWNER,76,f,34,25-40,127369,51.20,8369,-7.29,1.15,25.69,5.30
951,951,793,DISPONENT,76,m,39,25-40,127369,51.20,8369,-7.29,1.15,25.69,5.30
952,952,794,OWNER,63,f,48,40-50,86513,50.50,8288,-1.18,0.73,17.47,4.15
953,953,795,OWNER,25,m,62,25-50,88757,61.70,8554,4.46,0.21,22.76,2.58
954,954,796,OWNER,1,f,57,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
955,955,797,OWNER,57,m,29,25-40,161954,48.00,8720,-0.48,0.77,22.78,4.12
956,956,798,OWNER,1,m,33,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
957,957,799,OWNER,56,f,58,25-50,124605,46.00,8772,2.44,0.29,24.12,4.84
958,958,799,DISPONENT,56,m,57,25-50,124605,46.00,8772,2.44,0.29,24.12,4.84
959,959,800,OWNER,11,f,37,25-40,75637,36.50,9622,0.71,0.14,46.30,0.52
960,960,801,OWNER,16,f,42,40-50,93931,56.90,8427,0.42,0.42,20.16,1.33
961,961,802,OWNER,15,f,68,>65,58796,51.90,9045,0.58,0.47,31.67,3.37
962,962,803,OWNER,19,m,33,25-40,51428,52.70,8402,1.94,0.85,20.40,3.55
963,963,804,OWNER,64,f,33,25-40,197099,74.70,9624,-1.11,0.71,22.19,1.96
964,964,805,OWNER,10,f,46,40-50,92084,46.70,10124,5.49,-0.02,44.12,0.55
965,965,806,OWNER,13,f,27,25-40,53921,41.30,8598,5.16,0.49,32.20,3.01
966,966,806,DISPONENT,13,m,21,18-25,53921,41.30,8598,5.16,0.49,32.20,3.01
967,967,807,OWNER,76,m,20,18-25,127369,51.20,8369,-7.29,1.15,25.69,5.30
968,968,808,OWNER,69,m,42,40-50,42821,48.40,8173,0.00,0.00,31.71,7.01
970,970,809,OWNER,36,m,42,40-50,159617,85.20,9198,2.11,0.95,37.36,3.81
971,971,810,OWNER,46,f,81,>65,112709,73.50,8369,-2.09,0.52,24.27,2.05
972,972,810,DISPONENT,46,m,82,>65,112709,73.50,8369,-2.09,0.52,24.27,2.05
973,973,811,OWNER,14,f,29,25-40,177686,74.80,10045,-1.74,0.29,36.30,1.56
974,974,811,DISPONENT,14,m,36,25-40,177686,74.80,10045,-1.74,0.29,36.30,1.56
975,975,812,OWNER,1,f,40,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
976,976,813,OWNER,16,f,44,40-50,93931,56.90,8427,0.42,0.42,20.16,1.33
977,977,814,OWNER,76,f,73,>65,127369,51.20,8369,-7.29,1.15,25.69,5.30
978,978,815,OWNER,56,f,31,25-40,124605,46.00,8772,2.44,0.29,24.12,4.84
979,979,815,DISPONENT,56,m,33,25-40,124605,46.00,8772,2.44,0.29,24.12,4.84
980,980,816,OWNER,40,m,38,25-40,128118,85.30,9317,-0.60,0.58,53.94,6.78
981,981,817,OWNER,5,m,39,25-40,95616,51.40,9307,4.43,0.58,29.58,4.14
984,984,819,OWNER,20,m,50,40-50,70646,58.40,8547,-0.30,0.99,21.98,3.15
985,985,819,DISPONENT,20,f,52,25-50,70646,58.40,8547,-0.30,0.99,21.98,3.15
986,986,820,OWNER,74,m,44,40-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
987,987,821,OWNER,60,m,47,40-50,110643,51.90,8441,3.37,1.03,18.67,3.97
988,988,822,OWNER,40,f,60,25-50,128118,85.30,9317,-0.60,0.58,53.94,6.78
989,989,822,DISPONENT,40,m,66,>65,128118,85.30,9317,-0.60,0.58,53.94,6.78
990,990,823,OWNER,71,m,38,25-40,161227,69.70,8678,-2.39,-0.36,29.69,5.75
991,991,824,OWNER,32,m,58,25-50,105058,81.00,9272,1.57,0.42,42.10,3.01
992,992,825,OWNER,19,m,51,25-50,51428,52.70,8402,1.94,0.85,20.40,3.55
993,993,826,OWNER,44,f,30,25-40,105606,53.00,8254,1.51,0.97,21.26,3.27
994,994,827,OWNER,36,m,28,25-40,159617,85.20,9198,2.11,0.95,37.36,3.81
995,995,827,DISPONENT,36,f,26,25-40,159617,85.20,9198,2.11,0.95,37.36,3.81
996,996,828,OWNER,1,f,19,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
997,997,829,OWNER,59,m,49,40-50,108871,62.10,8444,-2.66,0.23,22.50,3.36
998,998,829,DISPONENT,59,f,46,40-50,108871,62.10,8444,-2.66,0.23,22.50,3.36
999,999,830,OWNER,74,f,33,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
1000,1000,830,DISPONENT,74,m,38,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
1001,1001,831,OWNER,44,m,52,25-50,105606,53.00,8254,1.51,0.97,21.26,3.27
1002,1002,832,OWNER,42,f,55,25-50,95907,59.10,8388,0.10,0.53,17.34,2.67
1003,1003,833,OWNER,31,f,62,25-50,51313,59.20,8930,2.42,0.68,27.09,3.86
1004,1004,834,OWNER,3,m,42,40-50,75232,41.70,8980,-0.15,0.26,37.46,2.08
1006,1006,836,OWNER,46,f,57,25-50,112709,73.50,8369,-2.09,0.52,24.27,2.05
1007,1007,836,DISPONENT,46,m,61,25-50,112709,73.50,8369,-2.09,0.52,24.27,2.05
1008,1008,837,OWNER,6,m,43,40-50,77963,51.50,8546,6.16,1.07,36.94,3.48
1009,1009,838,OWNER,33,f,37,25-40,133777,84.70,8705,1.56,1.86,35.54,6.68
1010,1010,838,DISPONENT,33,m,44,40-50,133777,84.70,8705,1.56,1.86,35.54,6.68
1011,1011,839,OWNER,16,m,60,25-50,93931,56.90,8427,0.42,0.42,20.16,1.33
1012,1012,840,OWNER,70,f,33,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
1013,1013,840,DISPONENT,70,m,26,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
1014,1014,841,OWNER,1,m,68,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
1015,1015,842,OWNER,62,m,65,25-50,145688,40.70,8544,1.28,0.57,19.30,1.58
1016,1016,842,DISPONENT,62,f,59,25-50,145688,40.70,8544,1.28,0.57,19.30,1.58
1017,1017,843,OWNER,6,f,56,25-50,77963,51.50,8546,6.16,1.07,36.94,3.48
1018,1018,844,OWNER,53,m,54,25-50,107911,50.90,8240,0.49,1.03,17.39,3.04
1019,1019,845,OWNER,14,f,53,25-50,177686,74.80,10045,-1.74,0.29,36.30,1.56
1020,1020,846,OWNER,72,f,22,18-25,226122,62.60,8994,-2.05,0.99,41.75,4.29
1021,1021,847,OWNER,2,m,22,18-25,88884,46.70,8507,5.79,0.18,27.19,1.76
1022,1022,848,OWNER,31,m,59,25-50,51313,59.20,8930,2.42,0.68,27.09,3.86
1023,1023,849,OWNER,1,m,61,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1024,1024,850,OWNER,25,m,43,40-50,88757,61.70,8554,4.46,0.21,22.76,2.58
1025,1025,851,OWNER,15,m,35,25-40,58796,51.90,9045,0.58,0.47,31.67,3.37
1026,1026,852,OWNER,57,m,20,18-25,161954,48.00,8720,-0.48,0.77,22.78,4.12
1027,1027,853,OWNER,1,f,59,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1028,1028,853,DISPONENT,1,m,65,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1029,1029,854,OWNER,1,f,45,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1030,1030,855,OWNER,1,m,52,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1031,1031,856,OWNER,2,f,31,25-40,88884,46.70,8507,5.79,0.18,27.19,1.76
1032,1032,857,OWNER,1,f,61,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1033,1033,857,DISPONENT,1,m,62,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1034,1034,858,OWNER,52,f,25,18-25,139012,61.90,8363,1.69,0.97,19.29,3.00
1035,1035,859,OWNER,13,f,28,25-40,53921,41.30,8598,5.16,0.49,32.20,3.01
1036,1036,859,DISPONENT,13,m,23,18-25,53921,41.30,8598,5.16,0.49,32.20,3.01
1037,1037,860,OWNER,1,f,34,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1038,1038,861,OWNER,69,f,38,25-40,42821,48.40,8173,0.00,0.00,31.71,7.01
1039,1039,862,OWNER,70,f,19,18-25,285387,89.90,10177,0.81,1.12,35.02,7.19
1040,1040,863,OWNER,1,m,39,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1041,1041,864,OWNER,72,m,38,25-40,226122,62.60,8994,-2.05,0.99,41.75,4.29
1042,1042,865,OWNER,17,f,33,25-40,74062,61.40,8114,2.40,0.24,14.74,2.50
1043,1043,865,DISPONENT,17,m,36,25-40,74062,61.40,8114,2.40,0.24,14.74,2.50
1044,1044,866,OWNER,9,f,28,25-40,81344,55.30,8899,-6.15,0.58,33.65,3.68
1045,1045,867,OWNER,60,f,52,25-50,110643,51.90,8441,3.37,1.03,18.67,3.97
1046,1046,868,OWNER,1,m,24,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
1047,1047,869,OWNER,16,f,36,25-40,93931,56.90,8427,0.42,0.42,20.16,1.33
1048,1048,870,OWNER,70,f,25,18-25,285387,89.90,10177,0.81,1.12,35.02,7.19
1049,1049,871,OWNER,1,m,57,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1050,1050,872,OWNER,27,f,28,25-40,67298,43.80,8561,1.46,0.64,16.02,0.97
1051,1051,873,OWNER,73,f,28,25-40,182027,56.40,8746,0.43,0.41,24.14,3.54
1052,1052,874,OWNER,56,m,35,25-40,124605,46.00,8772,2.44,0.29,24.12,4.84
1053,1053,874,DISPONENT,56,f,41,40-50,124605,46.00,8772,2.44,0.29,24.12,4.84
1054,1054,875,OWNER,63,m,75,>65,86513,50.50,8288,-1.18,0.73,17.47,4.15
1055,1055,876,OWNER,4,m,80,>65,149893,67.40,9753,4.32,0.41,37.15,4.84
1056,1056,877,OWNER,1,m,36,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
1057,1057,878,OWNER,52,m,60,25-50,139012,61.90,8363,1.69,0.97,19.29,3.00
1058,1058,879,OWNER,9,f,24,18-25,81344,55.30,8899,-6.15,0.58,33.65,3.68
1059,1059,880,OWNER,26,m,39,25-40,170449,100.00,10787,1.29,0.45,36.09,2.87
1060,1060,880,DISPONENT,26,f,42,40-50,170449,100.00,10787,1.29,0.45,36.09,2.87
1062,1062,882,OWNER,16,m,24,18-25,93931,56.90,8427,0.42,0.42,20.16,1.33
1063,1063,882,DISPONENT,16,f,23,18-25,93931,56.90,8427,0.42,0.42,20.16,1.33
1064,1064,883,OWNER,1,f,48,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1065,1065,884,OWNER,2,m,42,40-50,88884,46.70,8507,5.79,0.18,27.19,1.76
1066,1066,885,OWNER,1,m,59,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1067,1067,886,OWNER,1,m,47,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
1068,1068,887,OWNER,13,f,73,>65,53921,41.30,8598,5.16,0.49,32.20,3.01
1069,1069,888,OWNER,54,f,61,25-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
1070,1070,888,DISPONENT,54,m,61,25-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
1071,1071,889,OWNER,43,m,74,>65,161854,76.30,9425,-1.20,0.78,24.64,2.11
1072,1072,890,OWNER,60,f,33,25-40,110643,51.90,8441,3.37,1.03,18.67,3.97
1073,1073,891,OWNER,34,m,75,>65,125236,87.70,9675,-1.06,1.25,41.97,7.05
1074,1074,891,DISPONENT,34,f,71,>65,125236,87.70,9675,-1.06,1.25,41.97,7.05
1075,1075,892,OWNER,65,f,65,25-50,114200,43.70,8403,4.91,-0.02,21.34,5.73
1076,1076,893,OWNER,53,f,20,18-25,107911,50.90,8240,0.49,1.03,17.39,3.04
1077,1077,894,OWNER,46,m,79,>65,112709,73.50,8369,-2.09,0.52,24.27,2.05
1078,1078,895,OWNER,24,f,21,18-25,122603,80.00,8991,0.61,0.62,42.70,1.70
1079,1079,896,OWNER,3,m,38,25-40,75232,41.70,8980,-0.15,0.26,37.46,2.08
1080,1080,897,OWNER,54,f,49,40-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
1081,1081,898,OWNER,71,m,29,25-40,161227,69.70,8678,-2.39,-0.36,29.69,5.75
1082,1082,899,OWNER,9,m,32,25-40,81344,55.30,8899,-6.15,0.58,33.65,3.68
1083,1083,900,OWNER,48,m,62,25-50,78955,59.00,9060,0.79,0.66,21.35,2.11
1084,1084,900,DISPONENT,48,f,55,25-50,78955,59.00,9060,0.79,0.66,21.35,2.11
1085,1085,901,OWNER,60,f,67,>65,110643,51.90,8441,3.37,1.03,18.67,3.97
